◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
Targets: 1224
[176/1224] ❌ indiana-bloomington:womens
[177/1224] ❌ iona:mens
[178/1224] ❌ iona:womens
[179/1224] ❌ iowastate:mens
[180/1224] ❌ iowastate:womens
[181/1224] ❌ jackson-state:mens
[182/1224] ❌ jackson-state:womens
[183/1224] ❌ jacksonville-state:mens
[184/1224] ❌ jacksonville-state:womens
[185/1224] ❌ jacksonville:mens
[186/1224] ❌ jacksonville:womens
[187/1224] ❌ jamesmadison:mens
[188/1224] ❌ jamesmadison:womens
[189/1224] ❌ kstate:mens
[190/1224] ❌ kstate:womens
[191/1224] ❌ kennesaw-state:mens
[192/1224] ❌ kennesaw-state:womens
[193/1224] ❌ kent-state:mens
[194/1224] ❌ kent-state:womens
[195/1224] ❌ la-salle:mens
[196/1224] ❌ la-salle:womens
[197/1224] ❌ lafayette:mens
[198/1224] ❌ lafayette:womens
[199/1224] ❌ lamar:mens
[200/1224] ❌ lamar:womens
[201/1224] ❌ lemoyne:mens
[202/1224] ❌ lemoyne:womens
[203/1224] ❌ lehigh:mens
[204/1224] ❌ lehigh:womens
[205/1224] ❌ liberty:mens
[206/1224] ❌ liberty:womens
[207/1224] ❌ lindenwood:mens
[208/1224] ❌ lindenwood:womens
[209/1224] ❌ lipscomb:mens
[210/1224] ❌ lipscomb:womens
[211/1224] ❌ liu:mens
[212/1224] ❌ liu:womens
[213/1224] ❌ longwood:mens
[214/1224] ❌ longwood:womens
[215/1224] ❌ lsu:mens
[216/1224] ❌ lsu:womens
[217/1224] ❌ louisiana-tech:mens
[218/1224] ❌ louisiana-tech:womens
[219/1224] ❌ loyola-marymount:mens
[220/1224] ❌ loyola-marymount:womens
[221/1224] ❌ loyola-maryland:mens
[222/1224] ❌ loyola-maryland:womens
[223/1224] ❌ manhattan:mens
[224/1224] ❌ manhattan:womens
[225/1224] ❌ marist:mens
[226/1224] ❌ marist:womens
[227/1224] ❌ marquette:mens
[228/1224] ❌ marquette:womens
[229/1224] ❌ marshall:mens
[230/1224] ❌ marshall:womens
[231/1224] ❌ mcneese-state:mens
[232/1224] ❌ mcneese-state:womens
[233/1224] ❌ mercer:mens
[234/1224] ❌ mercer:womens
[235/1224] ❌ mercyhurst:mens
[236/1224] ❌ mercyhurst:womens
[237/1224] ❌ merrimack:mens
[238/1224] ❌ merrimack:womens
[239/1224] ❌ miami-ohio:mens
[240/1224] ❌ miami-ohio:womens
[241/1224] ❌ michiganstate:mens
[242/1224] ❌ michiganstate:womens
[243/1224] ❌ mtsu:mens
[244/1224] ❌ mtsu:womens
[245/1224] ❌ missState:mens
[246/1224] ❌ missState:womens
[247/1224] ❌ missouri-state:mens
[248/1224] ❌ missouri-state:womens
[249/1224] ❌ monmouth:mens
[250/1224] ❌ monmouth:womens
[251/1224] ❌ morehead-state:mens
[252/1224] ❌ morehead-state:womens
[253/1224] ❌ morgan-state:mens
[254/1224] ❌ morgan-state:womens
[255/1224] ❌ murray-state:mens
[256/1224] ❌ murray-state:womens
[257/1224] ❌ ncstate:mens
[258/1224] ❌ ncstate:womens
[259/1224] ❌ new-mexico-state:mens
[260/1224] ❌ new-mexico-state:womens
[261/1224] ❌ niagara:mens
[262/1224] ❌ niagara:womens
[263/1224] ❌ nicholls-state:mens
[264/1224] ❌ nicholls-state:womens
[265/1224] ❌ norfolk-state:mens
[266/1224] ❌ norfolk-state:womens
[267/1224] ❌ nccu:mens
[268/1224] ❌ nccu:womens
[269/1224] ❌ ndsu:mens
[270/1224] ❌ ndsu:womens
[271/1224] ❌ northeastern:mens
[272/1224] ❌ northeastern:womens
[273/1224] ❌ northern-illinois:mens
[274/1224] ❌ northern-illinois:womens
[275/1224] ❌ northern-kentucky:mens
[276/1224] ❌ northern-kentucky:womens
[277/1224] ❌ northwestern-state:mens
[278/1224] ❌ northwestern-state:womens
[279/1224] ❌ northwestern:mens
[280/1224] ❌ northwestern:womens
[281/1224] ❌ oakland:mens
[282/1224] ❌ oakland:womens
[283/1224] ❌ ohiostate:mens
[284/1224] ❌ ohiostate:womens
[285/1224] ❌ ohio:mens
[286/1224] ❌ ohio:womens
[287/1224] ❌ okstate:mens
[288/1224] ❌ okstate:womens
[289/1224] ❌ olddominion:mens
[290/1224] ❌ olddominion:womens
[291/1224] ❌ oral-roberts:mens
[292/1224] ❌ oral-roberts:womens
[293/1224] ❌ oregonstate:mens
[294/1224] ❌ oregonstate:womens
[295/1224] ❌ pennstate:mens
[296/1224] ❌ pennstate:womens
[297/1224] ❌ pennsylvania:mens
[298/1224] ❌ pennsylvania:womens
[299/1224] ❌ pepperdine:mens
[300/1224] ❌ pepperdine:womens
[301/1224] ❌ prairie-view:mens
[302/1224] ❌ prairie-view:womens
[303/1224] ❌ presbyterian:mens
[304/1224] ❌ presbyterian:womens
[305/1224] ❌ princeton:mens
[306/1224] ❌ princeton:womens
[307/1224] ❌ providence:mens
[308/1224] ❌ providence:womens
[309/1224] ❌ purdue:mens
[310/1224] ❌ purdue:womens
[311/1224] ❌ queens:mens
[312/1224] ❌ queens:womens
[313/1224] ❌ quinnipiac:mens
[314/1224] ❌ quinnipiac:womens
[315/1224] ❌ radford:mens
[316/1224] ❌ radford:womens
[317/1224] ❌ rider:mens
[318/1224] ❌ rider:womens
[319/1224] ❌ robert-morris:mens
[320/1224] ❌ robert-morris:womens
[321/1224] ❌ rutgers:mens
[322/1224] ❌ rutgers:womens
[323/1224] ❌ rutgers-new-jersey:mens
[324/1224] ❌ rutgers-new-jersey:womens
[325/1224] ❌ sacstate:mens
[326/1224] ❌ sacstate:womens
[327/1224] ❌ sacred-heart:mens
[328/1224] ❌ sacred-heart:womens
[329/1224] ❌ saint-bonaventure:mens
[330/1224] ❌ saint-bonaventure:womens
[331/1224] ❌ saintjoes:mens
[332/1224] ❌ saintjoes:womens
[333/1224] ❌ slu:mens
[334/1224] ❌ slu:womens
[335/1224] ❌ stmarys:mens
[336/1224] ❌ stmarys:womens
[337/1224] ❌ saint-peters:mens
[338/1224] ❌ saint-peters:womens
[339/1224] ❌ sam-houston:mens
[340/1224] ❌ sam-houston:womens
[341/1224] ❌ samford:mens
[342/1224] ❌ samford:womens
[343/1224] ❌ sdsu:mens
[344/1224] ❌ sdsu:womens
[345/1224] ❌ san-jose-state:mens
[346/1224] ❌ san-jose-state:womens
[347/1224] ❌ san-jos:mens
[348/1224] ❌ san-jos:womens
[349/1224] ❌ santaclara:mens
[350/1224] ❌ santaclara:womens
[351/1224] ❌ seton-hall:mens
[352/1224] ❌ seton-hall:womens
[353/1224] ❌ siena:mens
[354/1224] ❌ siena:womens
[355/1224] ❌ sc-state:mens
[356/1224] ❌ sc-state:womens
[357/1224] ❌ south-dakota-state:mens
[358/1224] ❌ south-dakota-state:womens
[359/1224] ❌ se-louisiana:mens
[360/1224] ❌ se-louisiana:womens
[361/1224] ❌ siue:mens
[362/1224] ❌ siue:womens
[363/1224] ❌ smu:mens
[364/1224] ❌ smu:womens
[365/1224] ❌ stjohns:mens
[366/1224] ❌ stjohns:womens
[367/1224] ❌ stanford:mens
[368/1224] ❌ stanford:womens
[369/1224] ❌ stephen-f-austin:mens
[370/1224] ❌ stephen-f-austin:womens
[371/1224] ❌ stony-brook:mens
[372/1224] ❌ stony-brook:womens
[373/1224] ❌ syracuse:mens
[374/1224] ❌ syracuse:womens
[375/1224] ❌ tarleton-state:mens
[376/1224] ❌ tarleton-state:womens
[377/1224] ❌ tennessee-tech:mens
[378/1224] ❌ tennessee-tech:womens
[379/1224] ❌ tamu:mens
[380/1224] ❌ tamu:womens
[381/1224] ❌ tamucc:mens
[382/1224] ❌ tamucc:womens
[383/1224] ❌ tcu:mens
[384/1224] ❌ tcu:womens
[385/1224] ❌ texas-southern:mens
[386/1224] ❌ texas-southern:womens
[387/1224] ❌ texas-1:mens
[388/1224] ❌ texas-1:womens
[389/1224] ❌ towson:mens
[390/1224] ❌ towson:womens
[391/1224] ❌ troy:mens
[392/1224] ❌ troy:womens
[393/1224] ❌ uci:mens
[394/1224] ❌ uci:womens
[395/1224] ❌ ucsb:mens
[396/1224] ❌ ucsb:womens
[397/1224] ❌ ucla:mens
[398/1224] ❌ ucla:womens
[399/1224] ❌ air-force:mens
[400/1224] ❌ air-force:womens
[401/1224] ❌ army:mens
[402/1224] ❌ army:womens
[403/1224] ❌ navy:mens
[404/1224] ❌ navy:womens
[405/1224] ❌ albany:mens
[406/1224] ❌ albany:womens
[407/1224] ❌ buffalo:mens
[408/1224] ❌ buffalo:womens
[409/1224] ❌ akron:mens
[410/1224] ❌ akron:womens
[411/1224] ❌ alabama:mens
[412/1224] ❌ alabama:womens
[413/1224] ❌ uab:mens
[414/1224] ❌ uab:womens
[415/1224] ❌ arizona:mens
[416/1224] ❌ arizona:womens
[417/1224] ❌ arkansas:mens
[418/1224] ❌ arkansas:womens
[419/1224] ❌ little-rock:mens
[420/1224] ❌ little-rock:womens
[421/1224] ❌ cal:mens
[422/1224] ❌ cal:womens
[423/1224] ❌ uc-davis:mens
[424/1224] ❌ uc-davis:womens
[425/1224] ❌ california-los-angeles:mens
[426/1224] ❌ california-los-angeles:womens
[427/1224] ❌ uc-riverside:mens
[428/1224] ❌ uc-riverside:womens
[429/1224] ❌ ucsd:mens
[430/1224] ❌ ucsd:womens
[431/1224] ❌ central-arkansas:mens
[432/1224] ❌ central-arkansas:womens
[433/1224] ❌ ucf:mens
[434/1224] ❌ ucf:womens
[435/1224] ❌ cincinnati:mens
[436/1224] ❌ cincinnati:womens
[437/1224] ❌ colorado:mens
[438/1224] ❌ colorado:womens
[439/1224] ❌ uconn:mens
[440/1224] ❌ uconn:womens
[441/1224] ❌ dayton:mens
[442/1224] ❌ dayton:womens
[443/1224] ❌ delaware:mens
[444/1224] ❌ delaware:womens
[445/1224] ❌ denver:mens
[446/1224] ❌ denver:womens
[447/1224] ❌ detroit-mercy:mens
[448/1224] ❌ detroit-mercy:womens
[449/1224] ❌ evansville:mens
[450/1224] ❌ evansville:womens
[451/1224] ❌ florida:mens
[452/1224] ❌ florida:womens
[453/1224] ❌ georgia:mens
[454/1224] ❌ georgia:womens
[455/1224] ❌ hawaii:mens
[456/1224] ❌ hawaii:womens
[457/1224] ❌ houston:mens
[458/1224] ❌ houston:womens
[459/1224] ❌ illinois:mens
[460/1224] ❌ illinois:womens
[461/1224] ❌ illinois-urbana-champaign:mens
[462/1224] ❌ illinois-urbana-champaign:womens
[463/1224] ❌ iowa:mens
[464/1224] ❌ iowa:womens
[465/1224] ❌ kansas:mens
[466/1224] ❌ kansas:womens
[467/1224] ❌ kentucky:mens
[468/1224] ❌ kentucky:womens
[469/1224] ❌ louisiana:mens
[470/1224] ❌ louisiana:womens
[471/1224] ❌ louisville:mens
[472/1224] ❌ louisville:womens
[473/1224] ❌ maine:mens
[474/1224] ❌ maine:womens
[475/1224] ❌ maryland:mens
[476/1224] ❌ maryland:womens
[477/1224] ❌ umbc:mens
[478/1224] ❌ umbc:womens
[479/1224] ❌ umass:mens
[480/1224] ❌ umass:womens
[481/1224] ❌ umass-lowell:mens
[482/1224] ❌ umass-lowell:womens
[483/1224] ❌ miami:mens
[484/1224] ❌ miami:womens
[485/1224] ❌ michigan:mens
[486/1224] ❌ michigan:womens
[487/1224] ❌ minnesota:mens
[488/1224] ❌ minnesota:womens
[489/1224] ❌ olemiss:mens
[490/1224] ❌ olemiss:womens
[491/1224] ❌ missouri:mens
[492/1224] ❌ missouri:womens
[493/1224] ❌ umkc:mens
[494/1224] ❌ umkc:womens
[495/1224] ❌ nebraska:mens
[496/1224] ❌ nebraska:womens
[497/1224] ❌ nebraska-omaha:mens
[498/1224] ❌ nebraska-omaha:womens
